,pk,user_id,text,type,created_at,created_at_utc,content_type,status,bit_flags,did_report_as_spam,share_enabled,user,is_covered,has_liked_comment,comment_like_count,child_comment_count,preview_child_comments,other_preview_users,inline_composer_display_condition,private_reply_status,num_tail_child_comments,has_more_tail_child_comments,has_more_head_child_comments,has_translation
0,18101731789117143,12267785027,Exxon is a traitor it needs to die,0,1580228897,1580228897,comment,Active,0,False,False,"{'pk': 12267785027, 'username': 'dr_eck_scrim', 'full_name': 'Doctor Eck', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/53366356_423273618217480_4912332320398114816_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=4VsP_sJDhyQAX_0ARBC&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9GDNr0oulKxUlUg9ksY3mFzIy7nRvgxdaIJnMlM79AjA&oe=62BC0FB4&_nc_sid=705020', 'profile_pic_id': '2009024913742434790_12267785027', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
1,17956819666208793,186172461,Mmm,0,1547120485,1547120485,comment,Active,0,False,False,"{'pk': 186172461, 'username': 'turbo_bama', 'full_name': 'Holt Burdette', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/43751065_178379793065410_8537290469183324160_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=PUofMGmNG6EAX-6ADau&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT--sk0xQSyMg8m3VCZ_F-VGoa3eaZZSdgpcElhYRNGqJQ&oe=62BBD204&_nc_sid=705020', 'profile_pic_id': '1897192118309630106_186172461', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
2,18002274067100430,2213048687,@moraaaer let me find out! Lol,0,1546252871,1546252871,comment,Active,0,False,False,"{'pk': 2213048687, 'username': 'edge_by_ang', 'full_name': 'Angie Cecilio', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/31888471_519995855062559_5825626939452293120_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=21QI9ynKZa8AX93cWz5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9u4d390nMZmSKQ8kd5BZIqMpP_X-HA_cDCwyXTk99FwA&oe=62BB7505&_nc_sid=705020', 'profile_pic_id': '1773531094488783632_2213048687', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
3,17953293658208592,247498596,What’s Erika’s number? Lol,0,1546231113,1546231113,comment,Active,0,False,False,"{'pk': 247498596, 'username': 'chana630', 'full_name': 'Alejandra Anguiano', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/240491150_222207429841599_375755514190817737_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=c1_GrKj9XA0AX_yqUI9&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-TakhShvBuLllPa82Svy_wAI9767s6ag32S1sr23FYpw&oe=62BAC32F&_nc_sid=705020', 'profile_pic_id': '2646361818639680418_247498596', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,2,0,[],[],never,0,,,,
4,18030007573009809,288826886,H2S monitor?,0,1546229286,1546229286,comment,Active,0,False,False,"{'pk': 288826886, 'username': 'max_barbetta', 'full_name': 'Max Barbetta', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/247641636_307850767452379_7591985599718420807_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=jWLxpkSFifIAX8NIF0U&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8zDX7X1vu8HN985rhMxvrtOm-A4S_KAucFKU-EF1FsAw&oe=62BB706D&_nc_sid=705020', 'profile_pic_id': '2690607671231401414_288826886', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655945484, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
5,18016796848014505,5450792849,"thanks, Erika!",0,1546226659,1546226659,comment,Active,0,False,False,"{'pk': 5450792849, 'username': 'thisisbrendonchan', 'full_name': '𝐵𝓇𝑒𝓃𝒹𝑜𝓃', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/279551216_349987893779049_8230410778889219505_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=nJFJrbsyZPoAX82bRC9&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9-nHspvXYVLgvPQJTTSRUfw5xwJDOLH5PKdPmr2gt3tA&oe=62BAABF6&_nc_sid=705020', 'profile_pic_id': '2827583320684530887_5450792849', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': False, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
6,17843218294334424,7209277024,Pretty 💘,0,1546214016,1546214016,comment,Active,0,False,False,"{'pk': 7209277024, 'username': 'lilllysgrace', 'full_name': '', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/59946470_2286132548271727_4538808111405727744_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=5ZHgIjPLTjoAX82TNDg&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9ycxzl_oQuQsArwYsVIrEs7jvON4PFtZtWsJzpErjBrQ&oe=62BA647E&_nc_sid=705020', 'profile_pic_id': '2052026477064320965_7209277024', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
7,17986413538148710,1928324506,she’s the next Bo4 specialist,0,1546211859,1546211859,comment,Active,0,False,False,"{'pk': 1928324506, 'username': 'jxidion', 'full_name': 'Jaidion.', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/277961194_396924748933443_1744898544039684202_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=mCfeQPlyxh4AX8EhUXQ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9NRz29Db8XlXHACZ3HC4UEmQrdXszC0q3xRwl5cS7B6A&oe=62BA69B6&_nc_sid=705020', 'profile_pic_id': '2810016931501849496_1928324506', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
8,18016999048019649,30876995,@vanessa.rdz01 I thought this was you 😅,0,1546207809,1546207809,comment,Active,0,False,False,"{'pk': 30876995, 'username': 'eliaselopez', 'full_name': 'Elias Lopez', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/286294408_766138288083677_9129910118704123472_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=5Ip0BxCv_igAX9QQMh6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-r8mgrqiBqVi9MfvJpeAKwa1AaNfRmDQ9NXaHEnqA3oQ&oe=62BAEE57&_nc_sid=705020', 'profile_pic_id': '2855807410071105282_30876995', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,1,1,[],"[{'id': 30876995, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/286294408_766138288083677_9129910118704123472_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=5Ip0BxCv_igAX9QQMh6&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-r8mgrqiBqVi9MfvJpeAKwa1AaNfRmDQ9NXaHEnqA3oQ&oe=62BAEE57&_nc_sid=705020'}]",never,0,1.0,True,False,
9,17986155376150984,695667124,She looks like a NASCAR driver 😍,0,1546203647,1546203647,comment,Active,0,False,False,"{'pk': 695667124, 'username': 'krabbyddy', 'full_name': 'Conor Maxwell Powell', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/279201580_514179367102609_7550563210732795823_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=101&_nc_ohc=5j0V8rO6m4sAX-pGzzK&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT94CbeU3RIJkIz3AozXXsM5gElTDR-vPZLJ_bZreOHkVQ&oe=62BC03B2&_nc_sid=705020', 'profile_pic_id': '2825170685150513777_695667124', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': False, 'latest_reel_media': 1655956747, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
10,17983194079165044,3248676195,Yay women in STEM! Why can't Exxon devote some of its resources and knowledge to non-petro based energy? The company could still be making shareholders money and providing energy to the world.,0,1546198437,1546198437,comment,Active,0,False,False,"{'pk': 3248676195, 'username': 'jackalopebrassworks', 'full_name': 'Jackalope Brassworks', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/1172655_100706847016293_962672417_a.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=AcLnDHExQhwAX8r_nwX&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-8WKMjaMULz_Arv3zSwyYiAjMwM7RbWr9Afc6I8vuXNQ&oe=62BABA40&_nc_sid=705020', 'profile_pic_id': '1253159433984455172_3248676195', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
11,17953486324215172,892600783,@dee_arrieta I thought that girl was you. 😂 Hope all is well.,0,1546197134,1546197134,comment,Active,0,False,False,"{'pk': 892600783, 'username': 'mari_llano18', 'full_name': 'Mario Arellano', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/287846829_2332722730235827_6261707324844044323_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=aGJHuxr8C30AX-_zzoR&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8-IIh2nAiXiL9r789nhftP0aXt9dyMSx6bpOiAR7pGhg&oe=62BA895E&_nc_sid=705020', 'profile_pic_id': '2860724888734701262_892600783', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,1,[],"[{'id': 185412912, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/150620067_419604395939494_1440507168083976663_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=D7mcdX4bPTkAX8A-uqn&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9IS8CrvKdaPXoU9qASCPhjWsTsyvOdRxUzlLMHoKB3Wg&oe=62BA9965&_nc_sid=705020'}]",never,0,1.0,True,False,
12,17979213808174478,48075338,Ugh Erica with a K.,0,1546196192,1546196192,comment,Active,0,False,False,"{'pk': 48075338, 'username': 'mrgustavdunn', 'full_name': 'M.D', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/201915966_3027847184160751_8178443053767404337_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=PAIg8OZK_XYAX_pYiD7&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9-_Rl-eCUDbS6Di3HgZOaW1fC3fA2Gs4E9JkK_b4gJJw&oe=62BAD1EF&_nc_sid=705020', 'profile_pic_id': '2598559070551958909_48075338', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
13,17993738887082283,1557875397,Goals!,0,1546189898,1546189898,comment,Active,0,False,False,"{'pk': 1557875397, 'username': 'dayana_mightbemexican', 'full_name': 'Dayana Bejarano', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/46417862_205601383583822_1727643688508588032_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=jRxWCGErZjkAX9r6Tb8&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_BaNmpPjFIiS1QDA_3gdvs8iUO-lMWk2O0sMTS221MuQ&oe=62BAB140&_nc_sid=705020', 'profile_pic_id': '1920820089356118278_1557875397', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
14,17986672183180347,432948115,✈️,0,1546150994,1546150994,comment,Active,0,False,False,"{'pk': 432948115, 'username': 'ambitious_ambi18', 'full_name': 'New A.P AstroGirl👽👽👽🛸🛸🛸🚀✈️🚁🛩🛫🛬', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/22157501_828202737358829_9158748610299428864_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=6ZxqLinFSSEAX-ZrvE5&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8i7sG3EZttY_UCFAA86ynCKmgoxlIyZfnYXt3vrSeYeA&oe=62BA6B2B&_nc_sid=705020', 'profile_pic_id': '1616205891563420354_432948115', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
15,17861468695306373,1361663236,"Get out of my feed Exxon, don't use female empowerment to support your environmental destruction",0,1546150081,1546150081,comment,Active,0,False,False,"{'pk': 1361663236, 'username': 'the_side_effect', 'full_name': 'Mary Vogel', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/102873856_605041160366501_8016848130874922871_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=wVp5cs1x-4IAX_NUr7D&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8y3-9m498SaazBsMGy_QA60_BwCjfuXGwRzTC1guyDNw&oe=62BA764E&_nc_sid=705020', 'profile_pic_id': '2328432860065454281_1361663236', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,21,0,[],[],never,0,,,,
