,pk,user_id,text,type,created_at,created_at_utc,content_type,status,bit_flags,did_report_as_spam,share_enabled,user,is_covered,has_liked_comment,comment_like_count,child_comment_count,preview_child_comments,other_preview_users,inline_composer_display_condition,private_reply_status,num_tail_child_comments,has_more_tail_child_comments,has_more_head_child_comments,has_translation
0,17868313111711200,1672038431,Impressive😊😊😊,0,1586174497,1586174497,comment,Active,0,False,False,"{'pk': 1672038431, 'username': 'dannyaco175', 'full_name': 'Danny Lizeth Acosta', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/280289255_1680370665662939_3244519758531221522_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=9_ukfmTRbhEAX_359cn&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_-aW1HQXMQOVQbl3N33sP9lNBjA0Hq-lbji9r6Nrwxmw&oe=62BB01A6&_nc_sid=705020', 'profile_pic_id': '2835435930699387518_1672038431', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
1,18094793116098301,325836782,Nasty,0,1575007729,1575007729,comment,Active,0,False,False,"{'pk': 325836782, 'username': 'katie_hieb', 'full_name': 'Katie Hieb', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/271608765_138051588626512_2088768746197808820_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=UI6n24KidiAAX-4AFrE&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-vN2B4BMcvBmSXP04NapHXelSdEeYdhRojD5L9uksu0w&oe=62BB1699&_nc_sid=705020', 'profile_pic_id': '2747719904838895187_325836782', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
2,17911114219363129,236898800,Yo can you stop destroying my future thanks,0,1572104134,1572104134,comment,Active,0,False,False,"{'pk': 236898800, 'username': 'cassandra.savel', 'full_name': 'Cassandra ❂', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/286281002_3178998932417472_8015515579553244760_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=Woqr_gwsQ8gAX8z2lC3&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9ip5-iYDugC4UeH9TEgIg8OnX0UtslLYU47y9pniQhUA&oe=62BACE1E&_nc_sid=705020', 'profile_pic_id': '2856385895634801943_236898800', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
3,18048734245134371,197860470,Can y’all clean up the ocean,0,1561912695,1561912695,comment,Active,0,False,False,"{'pk': 197860470, 'username': 'nickralph1', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/284517541_1250503582149274_2304359409995200939_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=110&_nc_ohc=E19Qoy3GD_EAX9Ou0Z4&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8XtmRE2iSO4pH16YIHDAwzD-rF4nm8gkdDFJDNehkJjA&oe=62BB1101&_nc_sid=705020', 'profile_pic_id': '2847635709655412698_197860470', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
4,17870230327368191,7093110953,very nice💪,0,1556756400,1556756400,comment,Active,0,False,False,"{'pk': 7093110953, 'username': 'allattingunes', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/279243320_3124219794501176_2890992822328516717_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=FiVpkAuOaqoAX-7N_2i&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9NpyCcz9oT_V2BFIZ0bJdxS8gBLEowAc0yg87RzjROSg&oe=62BAD8AF&_nc_sid=705020', 'profile_pic_id': '2825964324355979877_7093110953', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
5,17967433411248208,658639900,@katherinekerin,0,1556674710,1556674710,comment,Active,0,False,False,"{'pk': 658639900, 'username': 'renlamotte', 'full_name': 'Ren LaMotte', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/240331604_207243364622620_5452575519847319877_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=sdsIjixd0BMAX8Dm9Ha&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_O9sSHJeRjGfETUQA1b85zj0ANKYbMrAT-01V-YXui_w&oe=62BB61A6&_nc_sid=705020', 'profile_pic_id': '2646736951460405043_658639900', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
6,17854101961310686,7951432772,Can someone send me some info on how I can get back into the oil field are one the tug boat,0,1546236649,1546236649,comment,Active,0,False,False,"{'pk': 7951432772, 'username': 'hottproduct', 'full_name': 'Sean Magnolia', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/262202643_2981746932154815_5839173588325825280_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=sn3nx3zo-44AX_JkkbF&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8Xqtrzp6U_tG0vgRe0aQuqA4GgtPqSfLMdgbc32ylGtg&oe=62BADF24&_nc_sid=705020', 'profile_pic_id': '2718447534320439787_7951432772', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
7,18018470287022704,1613962892,Shoulda had a @dino.chouest boat out there #orangeandcream,0,1546230963,1546230963,comment,Active,0,False,False,"{'pk': 1613962892, 'username': 'relic504', 'full_name': 'Relic Saint Malo', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/274521682_712833940127118_634813509177718197_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=heEW99Px-YEAX8wCFiP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8_maWHrHk5alEzkj7UvNXIvpqsPAhikD5vIMNfQbsI8A&oe=62BC1D82&_nc_sid=705020', 'profile_pic_id': '2780793392490995272_1613962892', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655945934, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
8,17861863303305785,6458341083,This is a joke,0,1546230230,1546230230,comment,Active,0,False,False,"{'pk': 6458341083, 'username': 'akwes2', 'full_name': 'Wesley', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/288883262_392415162847940_1987648027134580593_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=VPmLoqY5FywAX9_XWlG&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_-XObO-d_VDasAXb-Wa0Xmm2pyg2hMuA4xGgPJkXKAlQ&oe=62BA5D83&_nc_sid=705020', 'profile_pic_id': '2863766814254269404_6458341083', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
9,17975367787197102,12527384,Stop doing this lol,0,1546227867,1546227867,comment,Active,0,False,False,"{'pk': 12527384, 'username': 'eric.pizza', 'full_name': 'E', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/278389412_745472676471211_6971180431476016121_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=yo4RPFH6_lMAX9HJmQl&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8cnbzvm3QfKt_2g7ifeJc-TEVA0oITmHfK0dhN8PKN0w&oe=62BA3C66&_nc_sid=705020', 'profile_pic_id': '2814871658080006612_12527384', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655911121, 'latest_besties_reel_media': 0}",False,False,1,0,[],[],never,0,,,,
