,pk,user_id,text,type,created_at,created_at_utc,content_type,status,bit_flags,did_report_as_spam,share_enabled,user,is_covered,has_translation,has_liked_comment,comment_like_count,child_comment_count,preview_child_comments,other_preview_users,num_tail_child_comments,has_more_tail_child_comments,has_more_head_child_comments,inline_composer_display_condition,private_reply_status
0,17903435858453443,52576871772,HAHAHA boooom boom booom,0,1648216825,1648216825,comment,Active,0,False,False,"{'pk': 52576871772, 'username': 'lbc_forbidden_danger_rap', 'full_name': 'LIL BIBLICAL CANNON', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/277324565_1146477809471538_5734079548863406291_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=lpi_y4Ve0asAX-VYkQH&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8BUuESclXWxxwfGS9IN5jxx_xAuZk-FtDMDxfHUzkxxw&oe=62BB7FD6&_nc_sid=705020', 'profile_pic_id': '2801743406961431426_52576871772', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,True,False,0,1,[],"[{'id': 52576871772, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/277324565_1146477809471538_5734079548863406291_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=lpi_y4Ve0asAX-VYkQH&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8BUuESclXWxxwfGS9IN5jxx_xAuZk-FtDMDxfHUzkxxw&oe=62BB7FD6&_nc_sid=705020'}]",1.0,True,False,never,0
1,17913282581261369,8043014578,😇😇👋😇🥰💤,0,1641895431,1641895431,comment,Active,0,False,False,"{'pk': 8043014578, 'username': 'leylacorusbaglar', 'full_name': 'Leyla Çörüş Bağlar', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/288373535_591156795649197_8441478639534188425_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=PYRwcIM8pnIAX_AJbMm&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8CXhkne9FxyMJ7Yi2eKZQULODAnMyrqhxWqXjqJhL1pA&oe=62BB4E5D&_nc_sid=705020', 'profile_pic_id': '2861335391684906550_8043014578', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': False, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
2,18249843379074052,50514784759,❤️❤️,0,1639979067,1639979067,comment,Active,0,False,False,"{'pk': 50514784759, 'username': 'neighbornicksbeerreviews', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/258575062_634146554256557_7809666953868217164_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=105&_nc_ohc=iBh1WZQ8YDoAX806JwP&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_bMm_pTKMA35Ky_hvZiryt_ebAj7VJ_2xN7YLICa_acQ&oe=62BB4FD9&_nc_sid=705020', 'profile_pic_id': '2710035185812233319_50514784759', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,1,0,[],[],,,,never,0
3,17898998450281142,1584811014,🤬🤬🤬🤬🤬,0,1636649976,1636649976,comment,Active,0,False,False,"{'pk': 1584811014, 'username': 'cresvaz', 'full_name': 'Cres Vaz', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/247463553_291026989540962_5241981524717945805_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=MAR6EAI_0V4AX8Vybzs&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-xyj2jQLwV_YJ1rAC8ZBeTFYLa_xIYSQFMRfTKJ3GP0g&oe=62BB26E7&_nc_sid=705020', 'profile_pic_id': '2689213496986333193_1584811014', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': False, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
4,17974141765452421,1658511611,Like this is something to be proud of?,0,1635525012,1635525012,comment,Active,0,False,False,"{'pk': 1658511611, 'username': 'romeo_thefrenchbulldog', 'full_name': 'Romeo & Ella', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/33313391_256371941590064_3478745616509566976_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=PKK0O0KLbk4AX9Ca_RL&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-KW6dFKNc6x2fbcToXgWRDtoKnO0wzx-Hkf9hIhPJGug&oe=62BB33B3&_nc_sid=705020', 'profile_pic_id': '1796917489185368492_1658511611', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655946483, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
5,17890794107344783,1658511611,Ur kidding right,0,1635524997,1635524997,comment,Active,0,False,False,"{'pk': 1658511611, 'username': 'romeo_thefrenchbulldog', 'full_name': 'Romeo & Ella', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/33313391_256371941590064_3478745616509566976_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=108&_nc_ohc=PKK0O0KLbk4AX9Ca_RL&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-KW6dFKNc6x2fbcToXgWRDtoKnO0wzx-Hkf9hIhPJGug&oe=62BB33B3&_nc_sid=705020', 'profile_pic_id': '1796917489185368492_1658511611', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 1655946483, 'latest_besties_reel_media': 0}",False,,False,0,0,[],[],,,,never,0
6,17930945230675705,13532737792,STOOOOOOP,0,1630751119,1630751119,comment,Active,0,False,False,"{'pk': 13532737792, 'username': 'kisr_not_available', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://instagram.fadb6-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX3F1aWNfaGFuZHNoYWtlX3RpbWVvdXRfNDpxdWljX2hhbmRzaGFrZV90aW1lb3V0XzMwcyJ9&_nc_ad=z-m&_nc_ht=instagram.fadb6-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ZL-zZ62NrpYAX_Y64Iv&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AT88IahTyzkXAeQq-CoQ59rWvKH83NSmibS1MLJozmDTDw&oe=62BB0CCF&_nc_sid=cff2a4', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,True,False,1,0,[],[],,,,never,0
7,18125847037216838,13532737792,STOOOOOOP,0,1630750957,1630750957,comment,Active,0,False,False,"{'pk': 13532737792, 'username': 'kisr_not_available', 'full_name': '', 'is_private': True, 'profile_pic_url': 'https://instagram.fadb6-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX3F1aWNfaGFuZHNoYWtlX3RpbWVvdXRfNDpxdWljX2hhbmRzaGFrZV90aW1lb3V0XzMwcyJ9&_nc_ad=z-m&_nc_ht=instagram.fadb6-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ZL-zZ62NrpYAX_Y64Iv&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AT88IahTyzkXAeQq-CoQ59rWvKH83NSmibS1MLJozmDTDw&oe=62BB0CCF&_nc_sid=cff2a4', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,True,False,1,0,[],[],,,,never,0
8,17899403582116229,197464219,"Oh good, a new, more efficient way to poison us",0,1626280324,1626280324,comment,Active,0,False,False,"{'pk': 197464219, 'username': 'realclaretaylor', 'full_name': 'Clare Taylor', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/70429715_371713813737579_2890804077321519104_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=kaal2HEQjmMAX8IV-SA&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9zmwWhCjGAgaXOPLYNwGf28JZDmMNsQ6I96CAdjU8fSQ&oe=62BB05ED&_nc_sid=705020', 'profile_pic_id': '2143169423505210824_197464219', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,2,0,[],[],,,,never,0
9,17862570248552640,2814301293,STOP making plastic you planet destroyers,0,1625309619,1625309619,comment,Active,0,False,False,"{'pk': 2814301293, 'username': 'almcarthur1', 'full_name': '', 'is_private': False, 'profile_pic_url': 'https://instagram.fadb6-2.fna.fbcdn.net/v/t51.2885-19/44884218_345707102882519_2446069589734326272_n.jpg?efg=eyJybWQiOiJpZ19hbmRyb2lkX21vYmlsZV9uZXR3b3JrX3N0YWNrX3F1aWNfaGFuZHNoYWtlX3RpbWVvdXRfNDpxdWljX2hhbmRzaGFrZV90aW1lb3V0XzMwcyJ9&_nc_ad=z-m&_nc_ht=instagram.fadb6-2.fna.fbcdn.net&_nc_cat=1&_nc_ohc=ZL-zZ62NrpYAX_Y64Iv&edm=AJ9x6zYBAAAA&ccb=7-5&ig_cache_key=YW5vbnltb3VzX3Byb2ZpbGVfcGlj.2-ccb7-5&oh=00_AT88IahTyzkXAeQq-CoQ59rWvKH83NSmibS1MLJozmDTDw&oe=62BB0CCF&_nc_sid=cff2a4', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,,False,1,0,[],[],,,,never,0
