,pk,user_id,text,type,created_at,created_at_utc,content_type,status,bit_flags,did_report_as_spam,share_enabled,user,is_covered,has_liked_comment,comment_like_count,child_comment_count,preview_child_comments,other_preview_users,inline_composer_display_condition,private_reply_status,num_tail_child_comments,has_more_tail_child_comments,has_more_head_child_comments,has_translation
0,17942195869916276,52576871772,BIG SKIES….,0,1648216672,1648216672,comment,Active,0,False,False,"{'pk': 52576871772, 'username': 'lbc_forbidden_danger_rap', 'full_name': 'LIL BIBLICAL CANNON', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/277324565_1146477809471538_5734079548863406291_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=106&_nc_ohc=lpi_y4Ve0asAX-VYkQH&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8BUuESclXWxxwfGS9IN5jxx_xAuZk-FtDMDxfHUzkxxw&oe=62BB7FD6&_nc_sid=705020', 'profile_pic_id': '2801743406961431426_52576871772', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,0,0,[],[],never,0,,,,
1,17940498694587401,1329267302,You mean a photo of your planet destroying fossil fuel infrastructure! You are making our planet uninhabitable & causing the climate emergency!🔥🌎🔥,0,1634698765,1634698765,comment,Active,0,False,False,"{'pk': 1329267302, 'username': 'hollyhcox', 'full_name': 'Holly Holland Cox', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/145232781_136643261617694_8865838063816525333_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=Bx9B3Dp8Q8IAX8rjQGK&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9xVN4vgpDxubMueViWZJiqq3sC5x9kAw12k8Cnwaku1Q&oe=62BC129A&_nc_sid=705020', 'profile_pic_id': '2499602765775650830_1329267302', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,3,0,[],[],never,0,,,,
2,17939631547604487,2895861535,addressing the risks of climate change 🤡,0,1631164825,1631164825,comment,Active,0,False,False,"{'pk': 2895861535, 'username': 'jehnnuhfur', 'full_name': 'jennifer ㄷㅎ', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/285373404_760858901585179_5827049113112370419_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=0aaczDVTRQMAX8B-IAJ&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-tl4gGO9GhfsI26hV5orxXuprbTKbtmGa_lx52KV-J2g&oe=62BBA93A&_nc_sid=705020', 'profile_pic_id': '2852817082770728280_2895861535', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,4,0,[],[],never,0,,,,
3,17902625264055445,632629887,I’d rather see a forest than your dumpster fire of a picture of you polluting out earth.,0,1629494505,1629494505,comment,Active,0,False,False,"{'pk': 632629887, 'username': 'artsyandy', 'full_name': 'Andrea G.', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/11849420_1614702472145992_2007921737_a.jpg?_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=104&_nc_ohc=FubPUQ659nwAX_eRXJ8&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT_qxrIJ6g2xFFgT57W5d23o_zRqE95gyOXBCgrJVuFBXA&oe=62BB67B2&_nc_sid=705020', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,4,0,[],[],never,0,,,,
4,17931356287644928,1623757587,Oh shut up all you're doing for the horizon is polluting it,0,1629241243,1629241243,comment,Active,0,False,False,"{'pk': 1623757587, 'username': '4rest.20', 'full_name': 'forrest', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/72291541_428153624773123_7245395054217396224_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=107&_nc_ohc=WUIIQzyRmTMAX981e5X&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9huYlTpA8U4Ts0xqYdcdEXNr-DZuldMypYukUtG-W3Xg&oe=62BA675C&_nc_sid=705020', 'profile_pic_id': '2181153988601488731_1623757587', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,5,0,[],[],never,0,,,,
5,18017592751319923,3927920854,Stop destroying our earth!!!,0,1628952051,1628952051,comment,Active,0,False,False,"{'pk': 3927920854, 'username': 'faisalsonhaji', 'full_name': 'Faisal Sonhaji', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/185845035_468790484411253_4357278422377188060_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=109&_nc_ohc=30FUfhcdkI8AX8AhTa2&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-TgtghB5aWlx_lUpMLWAwYpqRve9hcntgHFcgx44oMrQ&oe=62BAE707&_nc_sid=705020', 'profile_pic_id': '2573876454255000638_3927920854', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,4,0,[],[],never,0,,,,
6,17939071978547962,197464219,Ruining our horizons and our water supplies: that’s the Exxon promise,0,1626280035,1626280035,comment,Active,0,False,False,"{'pk': 197464219, 'username': 'realclaretaylor', 'full_name': 'Clare Taylor', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/70429715_371713813737579_2890804077321519104_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=103&_nc_ohc=kaal2HEQjmMAX8IV-SA&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9zmwWhCjGAgaXOPLYNwGf28JZDmMNsQ6I96CAdjU8fSQ&oe=62BB05ED&_nc_sid=705020', 'profile_pic_id': '2143169423505210824_197464219', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,4,0,[],[],never,0,,,,
7,17928657250626621,197699009,Where’s that motto when it’s comes to renewable energy?,0,1625750724,1625750724,comment,Active,0,False,False,"{'pk': 197699009, 'username': 'madmoneyy___', 'full_name': 'Mads', 'is_private': False, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/138329561_693262444680350_5565989680972147467_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=102&_nc_ohc=dTw9Xl2nWioAX_f4X6y&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT9xzwnWz_PWqtAL2h_wIbdeoIcpMOUNgC2XdFuWaQdQMA&oe=62BB9FE5&_nc_sid=705020', 'profile_pic_id': '2486190047889851227_197699009', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,2,0,[],[],never,0,,,,
8,18234634222005512,7482565436,Invest in renewable energies!!,0,1624313037,1624313037,comment,Active,0,False,False,"{'pk': 7482565436, 'username': 'leslie_scott_9', 'full_name': 'Less', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/219428337_177500720954471_7714535440358787136_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=111&_nc_ohc=5rbi8XM0DPcAX8rWsHh&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT-1aeckoX5LDRbEfI3QEZkke9cqcsmB6abpGrRBPY386A&oe=62BB47D8&_nc_sid=705020', 'profile_pic_id': '2620062546570167232_7482565436', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,2,0,[],[],never,0,,,,
9,17842006604587899,236978257,Look at that smog,0,1618445995,1618445995,comment,Active,0,False,False,"{'pk': 236978257, 'username': 'applegater', 'full_name': 'Kelsey Applegate', 'is_private': True, 'profile_pic_url': 'https://scontent-mxp1-1.cdninstagram.com/v/t51.2885-19/178179332_168883735109940_1647918936378646242_n.jpg?stp=dst-jpg_s150x150&_nc_ht=scontent-mxp1-1.cdninstagram.com&_nc_cat=100&_nc_ohc=q3x0EZQVxIcAX9iSk6x&tn=0slJXXDyc2bu6LAZ&edm=AId3EpQBAAAA&ccb=7-5&oh=00_AT8N2SETWE3mxlcTM5JgYWIR6svrCGeLVjwg3AqTUHLcwQ&oe=62BBC8F9&_nc_sid=705020', 'profile_pic_id': '2558379572537335108_236978257', 'is_verified': False, 'follow_friction_type': 0, 'growth_friction_info': {'has_active_interventions': False, 'interventions': {}}, 'is_mentionable': True, 'latest_reel_media': 0, 'latest_besties_reel_media': 0}",False,False,8,0,[],[],never,0,,,,
